id,name,syllabicdivision,translated,primarymeaning,primaryexample,primaryreference
1,accelerometer,ac-cel-er-om-e-ter,acelerômetro,Dispositivo que mede a vibração ou a aceleração do movimento de uma estrutura,"Each sensor comprises an accelerometer, gyroscope and compass.","https://parkinsonslife.eu/ces-2017-5-innovative-gadgets-for-people-with-parkinsons/"
2,access,ac-cess,acesso,Ação ou oportunidade de entrar ou de sair,"Instructions that access the registers this way are code eficiente [...]","http://ww1.microchip.com/downloads/en/DeviceDoc/doc4316.pd"
3,accumulator,ac-cu-mu-la-tor,acumulador,Que acumula e amontoa,"If the operation is in response to an interrupt, not using the Accumulator saves the time and effort to stack it in the service routine","http://ww1.microchip.com/downloads/en/DeviceDoc/doc4316.pdf"
4,accuracy,ac-cu-ra-cy,precisão,Rigor no registro e na definição do valor,"AM and FM radio broadcast and TV broadcast cannot be predicted theoretically with accuracy.","https://asiapac.medtronic.com/content/dam/covidien/library/us/en/product/acute-care-ventilation/700Series_ServiceManual_EN_10070389B00.pdf"
5,acknowledgement,ac-knowl edge ment,reconhecimento,"","The APS datagram shall require encryption and acknowledgement.","ZigBee Smart Energy Standard Document"
6,activation,ac-ti-va-tion,ativação,Ação ou efeito de ativar,"This activation takes place even when the cycle involves no external fetch","http://ww1.microchip.com/downloads/en/DeviceDoc/doc4316.pdf"
7,activity,ac-ti-vity,atividade,Capacidade ou tendência para agir,"Meet the world’s first device that can observe and model human brain activity during free movements.","https://parkinsonslife.eu/ces-2017-5-innovative-gadgets-for-people-with-parkinsons/"
8,address,ad-dress,endereço,Reunião dos dados necessários para que se consiga localizar algo,"Program execution continues with the instruction at this address.","https://www.moodlerje.com.br/pluginfile.php/931191/mod_page/content/3/8051.pdf"
9,addressable,ad-dres-sa-ble,endereçável,Que é capaz de se colocar um endereço,"SETB can operate on the carry flag or any directly addressable bit.","http://ww1.microchip.com/downloads/en/DeviceDoc/doc4316.pdf"
10,alarms,alarms,alarmes,Sinal sonoro de lembrete,"The accompanying app lets you check sleep data, see your set alarms, play music, enter diet and exercise regimes.","https://parkinsonslife.eu/ces-2017-5-innovative-gadgets-for-people-with-parkinsons/"
11,algorithms,al-go-ri-thms,algoritimos,Conjunto de regras que fornecem uma sequência de operações capazes de resolver um problema específico,"Thirdly, algorithms for analyzing heterogeneous image data are needed.","https://www.moodlerje.com.br/pluginfile.php/919461/mod_page/content/1/1-s2.0-S1361841516300998-main.pdf"
12,alternate,al-ter-na-te,alternância,Sucessão de coisas que se repetem com alternação,"The alternate functions can only be activated if the corresponding bit latch in the port SFR contains a 1.","http://ww1.microchip.com/downloads/en/DeviceDoc/doc4316.pdf"
13,amplification,am-pli-fi-ca-tion,amplificação,Aumentar o volume a extensão ou a intensidade,"Effect of DNA damage on PCR amplification efficiency with the relative threshold cycle method.","https://www.moodlerje.com.br/pluginfile.php/912717/mod_page/content/2/acs.est.8b04393.pdf"
14,analysis,a-nal-y-sis,análise,Ação ou efeito de analisar,"One example is MRI image analysis.","https://reader.elsevier.com/reader/sd/pii/S1361841516300998?token=77DEAD78C75278E92231AABB8231F0A4AAE588C18E3FC84AC91F11065D75FCBEB74FAB67AA484B2110A52992EB49065F"
15,app,app,aplicativo,Programa de computador desenvolvido para processar dados de modo eletrônico,"The accompanying app lets you check sleep data, see your set alarms, play music, enter diet and exercise regimes.","https://parkinsonslife.eu/ces-2017-5-innovative-gadgets-for-people-with-parkinsons/"
16,applicable,ap-pli-ca-ble,aplicável,Que se consegue aplicar,"[...] it may not be all-inclusive and may not be applicable to your ventilator.","https://asiapac.medtronic.com/content/dam/covidien/library/us/en/product/acute-care-ventilation/700Series_ServiceManual_EN_10070389B00.pdf"
17,architecture,ar-chi-tec-ture,arquitetura,"","The third and last step for Release 15 was a late drop completed in March 2019, which included more architecture options (for example, the possibility to connect 5G NodeBs (gNBs) to an Evolved Packet Core (EPC) and then operating NR and LTE in multi-connectivity mode, wherein NR is the master node and LTE is the secondary node).","5G wireless access: an overview"
18,architectures,ar-chi-tec-tures,arquiteturas,Processo técnico que envolve a elaboração de espaços organizados,"These kinds of bit operations are not easily obtained in other architectures with any amount of byte-oriented software.",",http://ww1.microchip.com/downloads/en/DeviceDoc/doc4316.pdf"
19,assembly,as-sem-bly,assembly,Preparo ou disposição das peças de uma máquina para esta poder funcionar," The exhalation valve assembly, a pneumatically actuated valve, closes during inspiration to prevent delivered gas from venting to the atmosphere.","https://asiapac.medtronic.com/content/dam/covidien/library/us/en/product/acute-care-ventilation/700Series_ServiceManual_EN_10070389B00.pdf"
20,asynchronous,as-yn-ch-ro-nous,assíncrono,Que não acontece juntamente com outra coisa,"Asynchronous transmission and reception can occur simultaneously and at different baud rates.","http://ww1.microchip.com/downloads/en/DeviceDoc/doc4316.pdf"
21,automatic,au-to-mat-ic,automático,Que opera por meios mecânicos,"The framework can be adapted for the automatic segmentation of anatomical structures with well-defined shape [...]","https://www.moodlerje.com.br/pluginfile.php/919461/mod_page/content/1/1-s2.0-S1361841516300998-main.pdf"
22,availability,a-vail-a-bil-i-ty,disponibilidade,"","The additional availability of frequency bands in low, mid, and high bands that together provide a combination of coverage","5G wireless access: an overview"
23,available,a-vail-a-ble,disponível,Que se encontra ao dispor,"[..] approaches which optimally exploit the available images and GT annotations are becoming more interesting.","https://www.moodlerje.com.br/pluginfile.php/919461/mod_page/content/1/1-s2.0-S1361841516300998-main.pdf"
24,backed,bac-ked,apoiado, "It supports any kind of connected device or mobile app, and is backed by more than 10 years","Philips HealthSuiteDevice Cloud","blank"
25,backend,back-end, Processo interno,"", "...you avoid the cost and effort of setting up, maintaining and operating your own backend.","Philips HealthSuite Device Cloud."
26,bandwidth,band-width,"largura de banda","","although the maximum total bandwidth is limited to 400 MHz","5G wireless access: an overview"
27,battery,bat-ter-y,bateria,Pilhas ou acumuladores elétricos de alimentação,"The 700 Series Ventilator System can be mains or battery powered.","https://www.moodlerje.com.br/pluginfile.php/888689/mod_page/content/4/700Series_ServiceManual_EN_10070389B00.pdf"
28,boolean,Bool-e-an,boleano,"Note that Boolean operations can be performed on any byte in the internal Data Memory space without going through the Accumulator","Atmel 8051 Microcontrollers Hardware Manual",
29,broadband,bro-ad-band,banda larga,"","these do not fit several use cases, including those where some MTC-type communications might have mobile broadband requirements","5G wireless access: an overview"
30,bus,bus,trilha,Elo de comunicação consistindo de um conjunto de vias ou fios que conectam diferentes partes do sistema de hardware de um computador,"Bus monitor test  Verifies the microcontroller’s bus monitor can detect bus error conditions.","https://asiapac.medtronic.com/content/dam/covidien/library/us/en/product/acute-care-ventilation/700Series_ServiceManual_EN_10070389B00.pdf"
31,cable,ca-ble,cabo,Feixe de fios metálicos protegidos por invólucros isoladores,"Attaches cable tie that retains main ventilator head harness.","https://asiapac.medtronic.com/content/dam/covidien/library/us/en/product/acute-care-ventilation/700Series_ServiceManual_EN_10070389B00.pdf"
